variable,global,q1,q2,q3,q4,q5
exp_n_counters,0.41476,0.221,0.3068,0.2971,0.2845,0.3991
exp_cons_total_max,0.32268,0.347,0.3855,0.2824,0.183,0.1318
exp_new_index_max,0.30525,0.4998,0.3992,0.225,0.1034,-0.0149
exp_cons2_mean,0.26803,0.285,0.3198,0.2822,0.1814,0.1303
exp_cv_cons,0.16983,0.307,0.1701,0.1361,0.1282,0.1789
exp_antiguedad_dias,0.25987,-0.0277,0.0863,0.1099,0.053,0.0392
exp_cons_total_median,0.06185,0.1411,0.1823,0.1298,0.0244,-0.0807
exp_share_statue_nonzero,0.10065,0.0521,0.0874,0.0162,0.0408,0.0802
